id,src,tgt
202,dervişin 45 dakikalık randevu çıkışın da neşesiz olduğu gözlerden kaçmadı,dervişin 45 dakikalık randevu çıkışında neşesiz olduğu gözlerden kaçmadı
203,gemi de aşk ucuzladı !,gemide aşk ucuzladı !
204,hasan celal güzel bugün partisinden istifa etti ve cem uzan hakkın da ciddi suçlamalar da bulundu .,hasan celal güzel bugün partisinden istifa etti ve cem uzan hakkında ciddi suçlamalarda bulundu .
205,ancak amerikan içeceği olduğu için içmekde istemiyor .,ancak amerikan içeceği olduğu için içmek de istemiyor .
206,türkiye artık dünya da tatilcilerin gözdeleri arasın da .,türkiye artık dünyada tatilcilerin gözdeleri arasında .
207,alış veriş yapanların yüz de 60ı türk ...,alış veriş yapanların yüzde 60ı türk ...
208,futbol da dünya kupası finallerine hop oturup hop kalktık .,futbolda dünya kupası finallerine hop oturup hop kalktık .
209,şimdi sıra da basketbol var .,şimdi sırada basketbol var .
210,basketbol dada dünya şampiyonası milliyetten izlenecek !,basketbolda da dünya şampiyonası milliyetten izlenecek !
211,"manken çağla şıkel’in baş döndüren aşk trafiği , sonun da babası hüseyin şıkel’ide kızdırdı .","manken çağla şıkel’in baş döndüren aşk trafiği , sonunda babası hüseyin şıkel’i de kızdırdı ."
212,çankaya kökün de yapılan zirveden sonuç çıkmadı .,çankaya kökünde yapılan zirveden sonuç çıkmadı .
213,zirve de kararın 22 ağustosta ki mgk toplantısın da bir kez daha ele alınması kararlaştırıldı .,zirvede kararın 22 ağustostaki mgk toplantısında bir kez daha ele alınması kararlaştırıldı .
214,zirve sırasın da köşkün kapısına kadar dayanan eylemler vardı .,zirve sırasında köşkün kapısına kadar dayanan eylemler vardı .
215,kendinizle ilgili ipuçlarınıda masanızdan çıkartabilir,kendinizle ilgili ipuçlarını da masanızdan çıkartabilir
216,"denekler , başlangıç da zorlanıyor ancak sonra mutlu oluyor ...","denekler , başlangıçta zorlanıyor ancak sonra mutlu oluyor ..."
217,"melih gökçek ankara , işılay saygında i̇zmir için düşünülüyor ...","melih gökçek ankara , işılay saygın da i̇zmir için düşünülüyor ..."
218,lige şok i̇stanbulspor yenilgisiyle başlayan fenerbahçe de teknik direktör daum yüreklere su serpti,lige şok i̇stanbulspor yenilgisiyle başlayan fenerbahçede teknik direktör daum yüreklere su serpti
219,uzay da yaşanabilir bölge !,uzayda yaşanabilir bölge !
220,"alman ve amerikayı bilim adamları , samanyolu galaksisi için de canlıların yaşayabile","alman ve amerikayı bilim adamları , samanyolu galaksisi içinde canlıların yaşayabile"
221,moda dünyasın da tasarımcıların yaratıcılığı sınır tanımıyor .,moda dünyasında tasarımcıların yaratıcılığı sınır tanımıyor .
222,çalışmalarını sergiledikleri defileler dede farklı konseptler deniyorlar .,çalışmalarını sergiledikleri defilelerde de farklı konseptler deniyorlar .
223,bu defile de mankenlerin yüz makyajı dikkat çekti ...,bu defilede mankenlerin yüz makyajı dikkat çekti ...
224,"şilinin başkenti santiago da bikinili garsonlar , çalıştıkları baron rojo kafenin kapısının önün de dizilerek müşteri çekiyorlar","şilinin başkenti santiagoda bikinili garsonlar , çalıştıkları baron rojo kafenin kapısının önünde dizilerek müşteri çekiyorlar"
225,"gözler , ysk da ve vereceği karar da .","gözler , yskda ve vereceği kararda ."
226,oyun dramın da ilginç gelişmeler yaşanıyor .,oyun dramında ilginç gelişmeler yaşanıyor .
227,sergen ilk yarı da attığı gollerle destan yazdı ...,sergen ilk yarıda attığı gollerle destan yazdı ...
228,i̇kinci elde fiyatlar son 2 ay da 1 3 milyar lira düştü .,i̇kinci elde fiyatlar son 2 ayda 1 3 milyar lira düştü .
229,suyun üzerin de bu balonla dolaşmaya ne dersiniz ?,suyun üzerinde bu balonla dolaşmaya ne dersiniz ?
230,milano moda yünlerin de 2004 yaz modası sergilendi ...,milano moda yünlerinde 2004 yaz modası sergilendi ...
231,i̇stediğimiz olmazsa türkiye akacak yeni bir mecra bulur ! son haber,i̇stediğimiz olmazsa türkiye akacak yeni bir mecra bulur!son haber
232,cinayetin sırrı disket de !,cinayetin sırrı diskette !
233,valinin açılış töreni sırasın da skandal yaşandı .,valinin açılış töreni sırasında skandal yaşandı .
234,i̇mza törenin de cem yılmaz bakan şeneri kırdı geçirdi ...,i̇mza töreninde cem yılmaz bakan şeneri kırdı geçirdi ...
235,guantanamo da 8 türk var,guantanamoda 8 türk var
236,öğretmenler odalın da fuhuş !,öğretmenler odalında fuhuş !
237,"beşiktaş da dönüş yok , aday çok","beşiktaşta dönüş yok , aday çok"
238,kıbrıs da tarihi referandum da oy sayım işlemi tamamlandı .,kıbrısta tarihi referandumda oy sayım işlemi tamamlandı .
239,rum kesimi referandum da adnan planın beklenendende büyük oran da hazır oyu kullandı .,rum kesimi referandumda adnan planın beklenenden de büyük oranda hazır oyu kullandı .
240,türk kesimin de ise evet oyu beklendiği gibi çoğunluk da çıktı .,türk kesiminde ise evet oyu beklendiği gibi çoğunlukta çıktı .
241,kktc de bundan sonra ne olacak ?,kktcde bundan sonra ne olacak ?
242,yeni dönem de neler olabilir ?,yeni dönemde neler olabilir ?
243,fenerbahçeyi kızlar basketbol da şampiyon son haber,fenerbahçeyi kızlar basketbolda şampiyon son haber
244,başkanın eşi tören de türbanını çıkardı,başkanın eşi törende türbanını çıkardı
245,bu kezde güldal akşit soyuldu,bu kez de güldal akşit soyuldu
246,resepsiyon da derbi tartışması böyle yaşandı,resepsiyonda derbi tartışması böyle yaşandı
247,kuzey kore de diktatör karanlığı,kuzey korede diktatör karanlığı
248,osmanpaşada bu rakam 7 binden 12 bin kişiye çıktı .,osmanpaşa’da bu rakam 7 binden 12 bin kişiye çıktı .
249,"fatih , beykoz ve kadıköydede durum aynı .","fatih , beykoz ve kadıköy’de de durum aynı ."
250,aşevine gelenlerin profilleride değişti .,aşevine gelenlerin profilleri de değişti .
251,karadenizde azgın dalgalar sert kayalara vurur .,karadeniz’de azgın dalgalar sert kayalara vurur .
252,dalgalar çekilir ama kaya yerin de durur .,dalgalar çekilir ama kaya yerinde durur .
253,"adanada , eşini sokak da bıçaklayan aydın kara’yı , uzaktan izleyen polislere soruşturma açıldı .","adana’da , eşini sokakta bıçaklayan aydın kara’yı , uzaktan izleyen polislere soruşturma açıldı ."
254,türkiye de içki pazarın da kadınların sözü geçiyor .,türkiyede içki pazarında kadınların sözü geçiyor .
255,yurdun büyük bölümün de görülen yağışlar bu geceden itibaren etkisini arttıracak .,yurdun büyük bölümünde görülen yağışlar bu geceden itibaren etkisini arttıracak .
256,hava sıcaklığıda hissedilir derece de azalacak .,hava sıcaklığı da hissedilir derecede azalacak .
257,i̇mar banyasın da ödemeler bir defa da olmayacak .,i̇mar banyasında ödemeler bir defada olmayacak .
258,füzelerin türkiyeyede geldiği sanılıyor,füzelerin türkiyeye de geldiği sanılıyor
259,real sociedadlı tayfun kadro da yok ...,real sociedadlı tayfun kadroda yok ...
260,chp genel başkanı deniz baykal ile kemal derviş bugün telefon da konuştu .,chp genel başkanı deniz baykal ile kemal derviş bugün telefonda konuştu .
261,sağ da ittifak arayışı !,sağda ittifak arayışı !
262,saadet partisi ile büyük birlik partisi arasın da ittifak için görüşmeler başladı .,saadet partisi ile büyük birlik partisi arasında ittifak için görüşmeler başladı .
263,"02 de korkunç sarsıntılarla uyandık , ulusça bir felaket yaşadık .","02de korkunç sarsıntılarla uyandık , ulusça bir felaket yaşadık ."
264,"istanbullular saatlerce trafik de bekledi , çoğu otomobilinden inip yürüdü ...","istanbullular saatlerce trafikte bekledi , çoğu otomobilinden inip yürüdü ..."
265,atatürk havalimanın da karnı burnun da bir kadın x ray cihazına yaklaştı .,atatürk havalimanında karnı burnunda bir kadın x ray cihazına yaklaştı .
266,tam o sıra da polisleri oyalamak için bir uçağa bomba ihbarı yapıldı .,tam o sırada polisleri oyalamak için bir uçağa bomba ihbarı yapıldı .
267,son olarak bugün almanyanın doğusunda ki dresden kent merkezinin sel tehlikesi nedeniyle boşaltılmasına karar verildi .,son olarak bugün almanyanın doğusundaki dresden kent merkezinin sel tehlikesi nedeniyle boşaltılmasına karar verildi .
268,i̇şte fotoğraflarla avrupada ki sel felaketi ...,i̇şte fotoğraflarla avrupadaki sel felaketi ...
269,tugay iki maç dada forma giyerse hakan şükürün rekorunu yakalayacak,tugay iki maçta da forma giyerse hakan şükürün rekorunu yakalayacak
270,"başbakan bülent ecevit , abnin tarih vermemesiyle ilgili olarak ilginç bir tespit de bulundu .","başbakan bülent ecevit , abnin tarih vermemesiyle ilgili olarak ilginç bir tespitte bulundu ."
271,kuma koruma altın da !,kuma koruma altında !
272,kertesin ülkemiz dede iki kitabı yayımlandı ...,kertesin ülkemizde de iki kitabı yayımlandı ...
273,sokak ortasın da cinnet !,sokak ortasında cinnet !
274,"adana da sokak ortasın da cinnet getiren adam , 5 yaşında ki çocuğunun gözleri önün de karısını bıçakladı .","adanada sokak ortasında cinnet getiren adam , 5 yaşındaki çocuğunun gözleri önünde karısını bıçakladı ."
275,"bir alman yayınevi , piyasaya üzerin de şiir ve hikaye yazılı tuvalet kağıtları sürdü .","bir alman yayınevi , piyasaya üzerinde şiir ve hikaye yazılı tuvalet kağıtları sürdü ."
276,peki ya yarı da kalırsa ?,peki ya yarıda kalırsa ?
277,son zamanlar da kavgalı mankenlerin hepsi en üst grubun mankeni .,son zamanlarda kavgalı mankenlerin hepsi en üst grubun mankeni .
278,"ya sinirleri bozuk , gevşemeye çalışıyorlar yada psikolojileri bozulmuş .","ya sinirleri bozuk , gevşemeye çalışıyorlar ya da psikolojileri bozulmuş ."
279,"derbi maç da kendisine edilen küfürlere kızan bilgili , bu sabah istifa etti .","derbi maçta kendisine edilen küfürlere kızan bilgili , bu sabah istifa etti ."
280,gürelide yöneticiliği bıraktığını açıkladı son haber,güreli de yöneticiliği bıraktığını açıkladı son haber
281,kktc de hükümet krizi !,kktcde hükümet krizi !
282,adnan planlını öldürmüştüm ! son haber,adnan planlını öldürmüştüm!son haber
283,kıbrıs da referandum batı basını tarafındanda yakından izlendi .,kıbrısta referandum batı basını tarafından da yakından izlendi .
284,türk futbolun da bir ilk !,türk futbolunda bir ilk !
285,"trabzonspor , geçtiğimiz cumartesi günü oynanan maç da sahaya giren taraftarlarına tazminat davası açıyor son haber","trabzonspor , geçtiğimiz cumartesi günü oynanan maçta sahaya giren taraftarlarına tazminat davası açıyor son haber"
286,"toki̇ , 14 il de konutları kira gibi taksitlerle 10 yıl vadeli olarak satışa çıkarıyor .","toki̇ , 14 ilde konutları kira gibi taksitlerle 10 yıl vadeli olarak satışa çıkarıyor ."
287,onlarda çocuktu ...,onlar da çocuktu ...
288,denktaş yüz de 65i bile umursamadı,denktaş yüzde 65i bile umursamadı
289,gölcük itfaiyecileride soyundu,gölcük itfaiyecileri de soyundu
290,şampiyonluk yarışında ki en önemli maç sona erdi .,şampiyonluk yarışındaki en önemli maç sona erdi .
291,"i̇stanbul derbisin de 3 puan , galatasarayı 2 1 mağlup eden beşiktaşın oldu ...","i̇stanbul derbisinde 3 puan , galatasarayı 2 1 mağlup eden beşiktaşın oldu ..."
292,kıbrıs da anketler ne diyor ?,kıbrısta anketler ne diyor ?
293,yetim çocuklar aids deneylerin de son haber,yetim çocuklar aids deneylerinde son haber
294,beşiktaş da ronaldo şoku son haber,beşiktaşta ronaldo şoku son haber
295,"alparslan türkeş , ölümünün 7. yıldönümün de anıldı","alparslan türkeş , ölümünün 7. yıldönümünde anıldı"
296,chp önün de kırmızı kartlı protesto ...,chp önünde kırmızı kartlı protesto ...
297,"i̇srail , arafatı vurmak da kararlı gibi !","i̇srail , arafatı vurmakta kararlı gibi !"
298,"necef de ölü sayısı 20 , 100den fazla yaralı var","necefte ölü sayısı 20 , 100den fazla yaralı var"
299,kanlı el kaide operasyonun da ölü sayısı 4e çıktı,kanlı el kaide operasyonunda ölü sayısı 4e çıktı
300,tüp geçit projesin de geri sayım başladı ...,tüp geçit projesinde geri sayım başladı ...
301,abd de neredeyse nefes almaya bile vergi konacak ...,abdde neredeyse nefes almaya bile vergi konacak ...
302,doğalgaz da yeni rota karadeniz ...,doğalgazda yeni rota karadeniz ...
303,çağladan sonra erikde çıktı ...,çağladan sonra erik de çıktı ...
304,okullar da elma ve patates dağıtılacak mı ?,okullarda elma ve patates dağıtılacak mı ?
305,süper lig de sürpriz sonuçlar alındı,süper ligde sürpriz sonuçlar alındı
306,mavericks suns maçın da potaya 227 sayı atıldı,mavericks suns maçında potaya 227 sayı atıldı
307,"bugün ekranlar da siyaset programlarının yanı sıra , birbirinden keyifli eğlence programları var","bugün ekranlarda siyaset programlarının yanı sıra , birbirinden keyifli eğlence programları var"
308,zana ve arkadaşlarının bugün bazı gazeteler de yeralan ilanı gündeme oturdu .,zana ve arkadaşlarının bugün bazı gazetelerde yeralan ilanı gündeme oturdu .
309,"türkiye , 17 aralık zirve taslağına itirazlarını 11 madde de topladı .","türkiye , 17 aralık zirve taslağına itirazlarını 11 maddede topladı ."
310,kasım da dolar yatırımcısı kaybetti son haber,kasımda dolar yatırımcısı kaybetti son haber
311,derbi anketin de cim bom ön de tıkla,derbi anketinde cim bom önde tıkla
312,memurlar da 15 dereceli maaş sisteminin değiştirilmesi için çalışmalar başlatıldı .,memurlarda 15 dereceli maaş sisteminin değiştirilmesi için çalışmalar başlatıldı .
313,konut fiyatları ankara da son 1 yıl da yüz de 30 40 oranın da arttı .,konut fiyatları ankarada son 1 yılda yüzde 30 40 oranında arttı .
314,şehir son dönemler de eskişehir yolu yönün de gelişiyor ayrıntılar ...,şehir son dönemlerde eskişehir yolu yönünde gelişiyor ayrıntılar ...
315,"bagaj da tanju ne pişirenler , apartman kapı sı çalanlar , yapraklara adı ne kazıyanlar .","bagajda tanju ne pişirenler , apartman kapı sı çalanlar , yapraklara adı ne kazıyanlar ."
316,yurdum i̇nsa anından haberler karşınız da ...,yurdum i̇nsa anından haberler karşınızda ...
317,bahis şirketlerin de durum ne ...,bahis şirketlerinde durum ne ...
318,yeni enflasyon sepetin de sona gelindi,yeni enflasyon sepetinde sona gelindi
319,kasım da yalnızca dolar yatırımcısı enflasyona yenildi,kasımda yalnızca dolar yatırımcısı enflasyona yenildi
320,eurovision da finale kalan eserler belirlendi,eurovisionda finale kalan eserler belirlendi
321,ford da çalışan türk kızına ödül,fordda çalışan türk kızına ödül
322,"baykal , sarıgül konusun da son noktayı koydu","baykal , sarıgül konusunda son noktayı koydu"
323,akp kırsal kesimde ki oy oranı için düzenli anket yaptıracak,akp kırsal kesimdeki oy oranı için düzenli anket yaptıracak
324,i̇lkokul mezunlarına ehliyet alma da engel kalkıyor,i̇lkokul mezunlarına ehliyet almada engel kalkıyor
325,kuşadasın da 2 genç kız öldürüldü !,kuşadasında 2 genç kız öldürüldü !
326,"nihat , madrid sınavın da","nihat , madrid sınavında"
327,cimbom da gözler hakan şükür de ...,cimbomda gözler hakan şükürde ...
328,milan maçın da fiorentinayı tutuyorum,milan maçında fiorentinayı tutuyorum
329,"nehir erdoğan , taylan birader’lerle başka projeler dede çalışmak istediğini söylüyor program arama","nehir erdoğan , taylan birader’lerle başka projelerde de çalışmak istediğini söylüyor program arama"
330,trt de gözaltı skandalı !,trtde gözaltı skandalı !
331,türkiye de mart 2006ya dikkat edin .,türkiyede mart 2006ya dikkat edin .
332,elazığ da 4.2 şiddetin de deprem oldu son,elazığda 4.2 şiddetinde deprem oldu son
333,başbakanlık basın görevlisi gözaltın da !,başbakanlık basın görevlisi gözaltında !
334,denizlispor da ersun yanala öfke son,denizlisporda ersun yanala öfke son
335,meclis de büyük uzlaşma !,mecliste büyük uzlaşma !
336,"otostop yapıp bindiği otomobilde ki erkeklerin evine gidip , tatlı bisküviyle uyutup soyan kadın yakalandı son","otostop yapıp bindiği otomobildeki erkeklerin evine gidip , tatlı bisküviyle uyutup soyan kadın yakalandı son"
337,abd de dergi yayıncıları birliği son 40 yıla damgasını vurmuş en iyi dergi kapakları seçildi .,abdde dergi yayıncıları birliği son 40 yıla damgasını vurmuş en iyi dergi kapakları seçildi .
338,kürsü de ağlatan sevgi !,kürsüde ağlatan sevgi !
339,bugün taburcu olan unakıtan teşekkür edince eşi gözyaşlarına boğulup gazetecilerin önün de böyle sarıldı son haber,bugün taburcu olan unakıtan teşekkür edince eşi gözyaşlarına boğulup gazetecilerin önünde böyle sarıldı son haber
340,en iyi 10 da 3 türk otel !,en iyi 10da 3 türk otel !
341,anneside ölmek istedi,annesi de ölmek istedi
342,türkiye yolsuzluk sıralamasın da 65. oldu,türkiye yolsuzluk sıralamasında 65. oldu
343,romanya da yeni kuş gribi şüphesi,romanyada yeni kuş gribi şüphesi
344,busha olan halk desteği en alt düzey de !,busha olan halk desteği en alt düzeyde !
345,"pakistan da durum vahimleşiyor , acil çadır lazım !","pakistanda durum vahimleşiyor , acil çadır lazım !"
346,"bush , beyaz saray da iftar yemeği verdi","bush , beyaz sarayda iftar yemeği verdi"
347,akpden dün istifa etti bugün anap da,akpden dün istifa etti bugün anapta
348,enerji bakanlıkısın başı tahkimle dert de !,enerji bakanlıkısın başı tahkimle dertte !
349,fener hakkın da bilmemiz gerekenleri biliyoruz,fener hakkında bilmemiz gerekenleri biliyoruz
350,fener schalkeyi evin de ağırlıyor i̇şte muhtemel 11,fener schalkeyi evinde ağırlıyor i̇şte muhtemel 11
351,beşiktaşta ki karışıklık i̇ngiliz basının da,beşiktaştaki karışıklık i̇ngiliz basınında
352,össye başvuru da randevu dönemi,össye başvuruda randevu dönemi
353,cadde de bombalı saldırı !,caddede bombalı saldırı !
354,i̇stanbul dgm de görevli hakim ve savcıları taşıyan servis midibüsünün sahil,i̇stanbul dgmde görevli hakim ve savcıları taşıyan servis midibüsünün sahil
355,kennedy caddesi köprü altından geçişi sırasın da uzaktan kumandalı ve parça tesirli bomba patladı .,kennedy caddesi köprü altından geçişi sırasında uzaktan kumandalı ve parça tesirli bomba patladı .
356,"saldırı da 1i savcı , 2si polis 5 kişi yaralandı","saldırıda 1i savcı , 2si polis 5 kişi yaralandı"
357,2004 de görevi bırakacağım .,2004te görevi bırakacağım .
358,fenerbahçe de kadro dışı bırakılan ogün artık trabzona dönüş hazırlığın da .,fenerbahçede kadro dışı bırakılan ogün artık trabzona dönüş hazırlığında .
359,yaralı oğulda babasını tüfekle vurdu ...,yaralı oğul da babasını tüfekle vurdu ...
360,birgün ev de yalnızken tecavüz etti .,birgün evde yalnızken tecavüz etti .
361,"buna göre tüfede ki artış % 1,6 olarak gerçekleşirken , tefe % 0,6 oranın da azaldı","buna göre tüfedeki artış % 1,6 olarak gerçekleşirken , tefe % 0,6 oranında azaldı"
362,sergen ve i̇lhan ansızın birlik de oynamak istediği hakan şükürün beşiktaş rüyası çabuk bitti .,sergen ve i̇lhan ansızın birlikte oynamak istediği hakan şükürün beşiktaş rüyası çabuk bitti .
363,"sergen , dizinde ki sakatlığı nedeniyle teknik direktör şenol güneş tarafından milli takım kadrosundan çıkartıldı .","sergen , dizindeki sakatlığı nedeniyle teknik direktör şenol güneş tarafından milli takım kadrosundan çıkartıldı ."
364,türkiye de bir ilk !,türkiyede bir ilk !
365,"on da firması , kaza olacağını önceden fark edip sürücüyü uyaran otomobil üretti .","onda firması , kaza olacağını önceden fark edip sürücüyü uyaran otomobil üretti ."
366,esin civangil eğlenmeye gittiği reina da fazla alkolden fenalaştı ...,esin civangil eğlenmeye gittiği reinada fazla alkolden fenalaştı ...
367,türk futbolu şok da !,türk futbolu şokta !
368,2.5 yaşın da bilgisayar kullanan çocuk !,2.5 yaşında bilgisayar kullanan çocuk !
369,"ab , imf başkanlığı için 2 isim üzerin de anlaştı","ab , imf başkanlığı için 2 isim üzerinde anlaştı"
370,malatya da don kayısıları vurdu,malatyada don kayısıları vurdu
371,sayısal talihlisi kuponu son dakika da yatırmış !,sayısal talihlisi kuponu son dakikada yatırmış !
372,"cameron diaz , artık aşk sahnelerin de oynamayacak .","cameron diaz , artık aşk sahnelerinde oynamayacak ."
373,şimdi söz on da ...,şimdi söz onda ...
374,"i̇şte , moskovada yazarlar birk’liğinin salonuna yerleştirilen tabut da nâzım’ın son görüntüsü .","i̇şte , moskova’da yazarlar birk’liğinin salonuna yerleştirilen tabutta nâzım’ın son görüntüsü ."
375,hollywood da şu günler de alışılmadık bir film projesi konuşuluyor .,hollywoodda şu günlerde alışılmadık bir film projesi konuşuluyor .
376,i̇şte biraz tuzluda olsa birkaç seçenek ...,i̇şte biraz tuzlu da olsa birkaç seçenek ...
377,"haftalardır aldığı kötü sonuçlarla düşme potasına gerileyen trabzonspor , samsun deplasmanın da güldü .","haftalardır aldığı kötü sonuçlarla düşme potasına gerileyen trabzonspor , samsun deplasmanında güldü ."
378,i̇stanbulda kuş gribi şüphesiyle şu ana kadar insanlardan alınan örnekler içerisin de pozitif sonuç çıkmadı .,i̇stanbulda kuş gribi şüphesiyle şu ana kadar insanlardan alınan örnekler içerisinde pozitif sonuç çıkmadı .
379,i̇stanbuldaki hastaneler de kuş gribi salgınına karşı hazırlık yapılıyor ...,i̇stanbuldaki hastanelerde kuş gribi salgınına karşı hazırlık yapılıyor ...
380,şişli de açık da tavuk satışı yasaklandı son,şişlide açıkta tavuk satışı yasaklandı son
381,şubat da tehlike büyüyebilir son haber,şubatta tehlike büyüyebilir son haber
382,"cimbom , varlık için de yokluk çekiyor","cimbom , varlık içinde yokluk çekiyor"
383,cesedini battaniyeye sarıp eve getirirken acı için de kıvranıyordu son,cesedini battaniyeye sarıp eve getirirken acı içinde kıvranıyordu son
384,los angeles de başlayan 2006 yılının ilk otomobil fuarın da lüks araçlar görücüye çıktı .,los angeleste başlayan 2006 yılının ilk otomobil fuarında lüks araçlar görücüye çıktı .
385,"tem otoyolun da zincirleme trafik kazası meydana geldi , 16 araç birbirine girdi .","tem otoyolunda zincirleme trafik kazası meydana geldi , 16 araç birbirine girdi ."
386,kaza da 12 ölü 45 yaralı var .,kazada 12 ölü 45 yaralı var .
387,yunanistanda ki kamp da pkkcılarla dhkclilerda taştı .,yunanistandaki kampta pkkcılarla dhkcliler da taştı .
388,youla sonun da gitti !,youla sonunda gitti !
389,gülmek isteyenler için hepsi mizah da ...,gülmek isteyenler için hepsi mizahta ...
390,bütün partiler oyun için de oyun oynadı .,bütün partiler oyun içinde oyun oynadı .
391,birde bize sürekli pazarlıkçı diyorlar .,bir de bize sürekli pazarlıkçı diyorlar .
392,pazarlık yapan varsa oda hükümettir .,pazarlık yapan varsa o da hükümettir .
393,ama iktidar partileri oyun için de oyun yaptı .,ama iktidar partileri oyun içinde oyun yaptı .
394,"onun içinde diyoruz ki , bu , demokratik bir anlayış değil .","onun için de diyoruz ki , bu , demokratik bir anlayış değil ."
395,"sayın bahçeli , gün gelir bizim yapmak da olduğumuz bu mücadeleye sizinde ihtiyacınız olabilir .","sayın bahçeli , gün gelir bizim yapmakta olduğumuz bu mücadeleye sizin de ihtiyacınız olabilir ."
396,bende size bir haber vereyim .,ben de size bir haber vereyim .
397,58’inci hükümet de tam 14 bakanın eşi türban takıyor .,58’inci hükümette tam 14 bakanın eşi türban takıyor .
398,birde dayak yedi !,bir de dayak yedi !
399,öğretmene sınıf da dayak !,öğretmene sınıfta dayak !
400,güney koreden gelen çatışma görüntülerinide kaçırmayın ...,güney koreden gelen çatışma görüntülerini de kaçırmayın ...
401,ab de gelişmenin coşkusu yaşanıyor .,abde gelişmenin coşkusu yaşanıyor .
402,ancak akılları kurcalayan sorunlarda var .,ancak akılları kurcalayan sorunlar da var .
403,afyon da çıplak protesto son haber,afyonda çıplak protesto son haber
404,tatildeyken laptobunu çaldıran cem özerin bilgisayarında ki ünlülere ait telefon numara yarı i̇nternetten geziyor,tatildeyken laptobunu çaldıran cem özerin bilgisayarındaki ünlülere ait telefon numara yarı i̇nternetten geziyor
405,türleri arjantin televizyonların da yayınlandı .,türleri arjantin televizyonlarında yayınlandı .
406,1 mayıs dünya dada coşkuyla kutlandı .,1 mayıs dünyada da coşkuyla kutlandı .
407,suyla hem halkı hemde doktorları mutlu edecek .,suyla hem halkı hem de doktorları mutlu edecek .
408,"i̇stanbul büyükşehir belediyesi , avrupanın en büyük deniz akvaryumu loceanograficin benzerini florya da kuruyor ...","i̇stanbul büyükşehir belediyesi , avrupanın en büyük deniz akvaryumu loceanograficin benzerini floryada kuruyor ..."
409,"anket de altın , gümüş ve bronz olarak üç farklı kadro seçildi .","ankette altın , gümüş ve bronz olarak üç farklı kadro seçildi ."
410,"stamford kenti , beverly hillsi geri de bıraktı ...","stamford kenti , beverly hillsi geride bıraktı ..."
411,kul lada mı yo ruz !,kul la da mı yo ruz !
412,"şampiyon atletimiz süreyya ayhan , milletler kupası yarışların da rahat bir yarış çıkararak 4.06 .","şampiyon atletimiz süreyya ayhan , milletler kupası yarışlarında rahat bir yarış çıkararak 4.06 ."
413,ilik dereceyle 1.500 metre de birinci oldu ...,ilik dereceyle 1.500 metrede birinci oldu ...
414,yarışmacı şimdi hastane de ...,yarışmacı şimdi hastanede ...
415,yunanistan da bir milyarder doğup büyüdüğü kasabaya büyük bir servet bıraktı .,yunanistanda bir milyarder doğup büyüdüğü kasabaya büyük bir servet bıraktı .
416,"mesut yılmazın eşi berna yılmaz , kemal dervişin kabine de kadın bakan isteğine destek çıktı ...","mesut yılmazın eşi berna yılmaz , kemal dervişin kabinede kadın bakan isteğine destek çıktı ..."
417,ama küçük bir şaka yapmak isterken kendisini cezaevin de buldu .,ama küçük bir şaka yapmak isterken kendisini cezaevinde buldu .
418,akbankda evlenebilir !,akbank da evlenebilir !
419,bir zamanlar ithal otomobil için galeriler de kuyruğa girenler artık kalmadı .,bir zamanlar ithal otomobil için galerilerde kuyruğa girenler artık kalmadı .
420,"biri bizi gözetleiyorum açık farkla ön de götüren edi , diskalifiye olmaktan son anda kurtuldu .","biri bizi gözetleiyorum açık farkla önde götüren edi , diskalifiye olmaktan son anda kurtuldu ."
421,taksiye çıktığın da oyun kurallarını ihlal eden edi gözyaşlarını tutamadı ...,taksiye çıktığında oyun kurallarını ihlal eden edi gözyaşlarını tutamadı ...
422,başı fena dert de !,başı fena dertte !
423,ünlü sanatçı mustafa sandalın başı vergi borcu nedeniyle dert de .,ünlü sanatçı mustafa sandalın başı vergi borcu nedeniyle dertte .
424,"üç yıl hapis istemiyle yargılandığı mahkeme , bir sonra ki duruşmaya zorla getirilmesini istedi","üç yıl hapis istemiyle yargılandığı mahkeme , bir sonraki duruşmaya zorla getirilmesini istedi"
425,"virginia üniversitesin de yapılan araştırmalar da , cep telefonunun öğrenciler de zihni yorarak öğrenmeyi engellediği ortaya çıktı .","virginia üniversitesinde yapılan araştırmalarda , cep telefonunun öğrencilerde zihni yorarak öğrenmeyi engellediği ortaya çıktı ."
426,barajlar da geçen yıla göre % 61lik fazlalık var,barajlarda geçen yıla göre % 61lik fazlalık var
427,anket de % 75lik destek alan ceme göre bu çok önemli bir gösterge ...,ankette % 75lik destek alan ceme göre bu çok önemli bir gösterge ...
428,"yapılan deniz suyu ölçümlerin de , 2001 yılına göre kirlilik oranın da düşüş saptandı .","yapılan deniz suyu ölçümlerinde , 2001 yılına göre kirlilik oranında düşüş saptandı ."
429,bazı bölgeler de koli basiline rastlanmadı,bazı bölgelerde koli basiline rastlanmadı
430,ünlü futbolcuyu dört gözle bekleyenler sadece avrupa’nın ön de gelen kulüpleri değil .,ünlü futbolcuyu dört gözle bekleyenler sadece avrupa’nın önde gelen kulüpleri değil .
431,dışarın da çok sıcak bir hava var ve siz dışarı çıkmak istemiyorsunuz .,dışarında çok sıcak bir hava var ve siz dışarı çıkmak istemiyorsunuz .
432,"yaptığı göbek şovla ünlenen ne , iddialı bir çalışma için de .","yaptığı göbek şovla ünlenen ne , iddialı bir çalışma içinde ."
